Run,True_E,True_In,True_NN,True_S,True_a,True_b,True_nu,Est_E,Est_In,Est_NN,Est_S,Est_a,Est_b,Est_nu,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
2,0.296,0.273,0.233,0.641,0.401,0.873,0.734,0.2947790755980884,0.2730012653730467,0.233,0.6397197279503968,0.3999707476234968,0.872608757374458,0.736058593494637,0.001997304289552632,0.001706597170631306,0.0041247446010526075,0.0011071193599406397,True
9,0.49,0.1,0.44,0.522,0.246,0.422,0.696,0.48962321984283574,0.09999977064742244,0.4399999999999999,0.5210169369465487,0.24556973089524536,0.42232164935181216,0.6964500630475035,0.0007622022554790756,0.0008303430204408658,0.001883262554504416,0.0004780201521830889,True
10,0.787,0.742,0.227,0.272,0.151,0.267,0.846,0.7869828992903269,0.7419999239911468,0.227,0.2720047915877093,0.15099764691748377,0.2669989529442864,0.8460166982059001,1.558332792203025e-05,1.1241467013286034e-05,2.172898306618829e-05,9.264854980924327e-06,True
5,0.577,0.194,0.881,0.297,0.44,0.186,0.555,0.5770009898483359,0.19400000000313333,0.881,0.2970018477228386,0.44000071202067575,0.18599951494355996,0.5549992872613385,1.6182288085288896e-06,1.9210123553167818e-06,6.2212890189278024e-06,8.979443992455581e-07,True
6,0.487,0.132,0.612,0.3,0.846,0.413,0.294,0.48699944762768854,0.13200000000401538,0.612,0.3000013077945095,0.8459997288048272,0.4129987930463847,0.2940002599168814,8.840710251924679e-07,1.3743741028886273e-06,4.359315031732258e-06,7.184588949362267e-07,True
1,0.805,0.856,0.894,0.369,0.787,0.467,0.456,0.8049994434727139,0.8559999999898165,0.894,0.36899951667289205,0.78699968297002,0.4670004207717572,0.4559999781407351,4.0283351975336976e-07,4.789943417060201e-07,1.3098295608330804e-06,3.425456009134303e-07,True
8,0.8,0.19,0.27,0.331,0.716,0.386,0.597,0.7999999805462222,0.19000000000726974,0.27,0.33099999648305833,0.715999987619067,0.3859999968285327,0.5970000115303521,1.0625201457173459e-08,1.1400364357347062e-08,2.4317222263592342e-08,9.907523319043604e-09,True
7,0.863,0.382,0.818,0.667,0.427,0.402,0.747,0.8629999916764446,0.38199999999535755,0.8180000000000001,0.666999986380395,0.42699999527910015,0.40200000374539696,0.747000005142698,9.316907803577702e-09,8.19051524861902e-09,2.041919790007296e-08,6.735168606154089e-09,True
4,0.225,0.343,0.16,0.182,0.442,0.774,0.754,0.22499999514272268,0.3429999999920079,0.16,0.18199999881557327,0.44199999589946815,0.7739999959299028,0.754000010228759,6.507839139375121e-09,8.031539611790297e-09,2.1587899246000575e-08,4.825581186310681e-09,True
3,0.723,0.775,0.211,0.495,0.838,0.335,0.462,0.7230000091352347,0.774999999991209,0.2109999999999999,0.4950000026532687,0.8380000047349991,0.33499999842957157,0.4619999992995809,4.687846131179949e-09,4.2658462260281724e-09,1.2635179363519472e-08,4.068511037237329e-09,True
